№,Nick,Faction,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,VP,GP,DIFF,SoS
1,Artur Diodand,Eyes of the Nine,3,3,60,28,1,3,34,23,1,3,39,8,1,3,31,2,1,3,41,16,15,205,77,45
2,Ilya,Stormsire’s Cursebreakers,15,3,30,16,4,3,26,13,2,3,18,5,1,0,29,-2,3,3,27,6,12,130,38,51
3,Brin,Thorns of the Briar Queen ,2,3,30,8,5,3,18,4,4,3,45,10,2,3,32,6,1,0,25,-16,12,150,12,48
4,"Федор Федоренко",Stormsire’s Cursebreakers,11,3,31,22,2,3,38,5,2,0,13,-5,4,3,35,18,2,3,28,13,12,145,53,42
5,Anguis,Ironskull’s Boyz,6,3,45,11,4,0,13,-13,9,3,22,3,7,3,25,6,5,3,23,4,12,128,11,42
6,Lordik,Magore's Fiends,8,3,25,17,3,0,17,-19,10,3,33,15,5,3,38,0,4,3,27,10,12,140,23,30
7,Vitaliy,Stormsire’s Cursebreakers,9,3,36,6,6,3,41,10,3,3,29,17,2,0,26,-6,2,0,15,-13,9,147,14,48
8,Just,Magore's Fiends,3,0,32,-28,16,3,29,19,11,3,50,12,7,0,19,-6,9,3,33,3,9,163,0,48
9,Kamahl,The Farstriders,9,0,30,-6,11,3,26,18,5,3,39,-5,5,0,38,0,7,3,40,9,9,173,16,45
10,Dimon,Thorns of the Briar Queen ,13,3,40,17,2,0,33,-5,5,0,44,5,9,3,32,12,6,3,42,7,9,191,36,39
11,Senek,Steelheart’s Champions,14,0,23,-1,9,3,29,8,6,3,20,8,3,3,28,8,3,0,21,-6,9,121,17,39
12,Nevar,Magore's Fiends,1,3,46,1,7,3,38,21,3,0,12,-17,6,3,45,6,4,0,17,-10,9,158,1,39
13,Oksana,Spiteclaw's Swarm,5,3,32,10,5,0,14,-4,6,0,12,-8,10,3,55,4,8,3,35,4,9,148,6,36
14,Kifir,Magore's Fiends,2,0,22,-8,11,0,8,-18,15,3,25,3,12,3,29,4,10,3,47,7,9,131,-12,36
15,Udar,Magore's Fiends,10,0,10,-21,15,3,22,-4,12,3,24,11,8,3,33,10,5,0,19,-4,9,108,-8,33
16,Sasha,Thorns of the Briar Queen ,4,3,39,3,7,0,17,-21,11,0,38,-12,13,3,44,5,11,3,34,14,9,172,-11,33
17,"Константин Кручинин",Stormsire’s Cursebreakers,10,3,31,21,3,3,36,19,1,0,31,-8,3,0,20,-8,6,0,35,-7,6,153,17,54
18,"Павел Кузнецов",Thorns of the Briar Queen ,12,3,28,24,1,0,11,-23,7,3,29,14,4,0,17,-18,9,0,30,-3,6,115,-6,45
19,Voron,Zarbag's Gitz,14,3,24,1,8,3,29,13,4,0,35,-10,6,0,39,-6,8,0,31,-4,6,158,-6,42
20,Naruto,Stormsire’s Cursebreakers,13,0,23,-17,14,3,22,15,9,0,19,-3,11,3,44,17,7,0,31,-9,6,139,3,36
21,Solnce,Zarbag's Gitz,16,3,24,4,6,0,31,-10,10,0,18,-15,13,0,39,-5,15,3,26,6,6,138,-20,36
22,Boris,Magore's Fiends,11,0,9,-22,15,0,26,4,14,3,28,12,11,0,27,-17,14,3,28,3,6,118,-20,33
23,Grib,Spiteclaw's Swarm,5,0,22,-10,12,3,38,8,8,3,36,-3,8,0,23,-10,10,0,40,-7,6,159,-22,33
24,Skiv,Thorns of the Briar Queen ,6,0,34,-11,13,0,14,-16,15,0,22,-3,16,3,31,17,13,3,30,14,6,131,1,27
25,Imp,Ironskull’s Boyz,7,0,23,6,9,0,21,-8,13,3,23,16,9,0,20,-12,12,3,29,-3,6,116,-1,27
26,Dants,Ironskull’s Boyz,12,0,4,-24,16,0,10,-19,16,3,25,6,14,3,19,12,11,0,20,-14,6,78,-39,27
27,Oleg,The Farstriders,15,0,14,-16,13,3,30,16,8,0,39,3,10,0,51,-4,12,0,32,3,3,166,2,39
28,Exselsior,The Chosen Axes,7,3,29,-6,8,0,16,-13,12,0,13,-11,14,0,7,-12,15,0,20,-6,3,85,-48,33
29,Soel,Eyes of the Nine,16,0,20,-4,10,3,23,8,7,0,15,-14,12,0,25,-4,13,0,16,-14,3,99,-28,30
30,Vanya Sabaka,Eyes of the Nine,4,0,36,-3,10,0,15,-8,13,0,7,-16,15,3,27,12,14,0,25,-3,3,110,-18,27
31,Verger,Zarbag's Gitz,1,0,36,-10,12,0,30,-8,14,0,16,-12,15,0,15,-12,16,3,33,13,3,130,-29,24
32,SashaPskov,Steelheart’s Champions,8,0,8,-17,14,0,7,-15,16,0,19,-6,16,0,13,-17,16,0,20,-13,0,67,-68,33
