№,Nick,Faction,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,VP,GP,DIFF,SoS
1,Lordik,Magore's Fiends,13,1,38,24,2,1,29,19,1,1,48,11,1,1,44,8,1,1,24,7,5,183,69,15
2,Pawlove,Ylthari's Guardians,17,1,29,20,3,1,33,3,2,1,41,8,2,1,43,4,1,0,17,-7,4,163,28,17
3,Ruker,Mollog's Mob,6,1,26,12,4,0,30,-15,11,1,35,13,6,1,35,24,2,1,31,2,4,157,36,14
4,Oleg,The Chosen Axes,14,1,22,2,8,1,28,0,5,0,30,-1,7,1,39,11,5,1,21,14,4,140,26,14
5,Sypher,Thorns of the Briar Queen ,16,1,46,6,6,1,28,12,3,1,38,17,1,0,36,-8,3,1,44,5,4,192,32,12
6,Brin,Ylthari's Guardians,18,1,17,7,5,1,36,-3,4,1,46,13,2,0,39,-4,4,1,28,11,4,166,24,12
7,Georgiy,Godsworn Hunt,11,1,47,13,4,1,45,15,1,0,37,-1,4,1,34,4,3,0,39,-5,3,202,26,17
8,Verger,Thundrik's Profiteers,8,1,39,33,1,0,29,5,5,1,41,11,3,0,41,-15,6,1,35,8,3,185,42,16
9,Tema,Mollog's Mob,15,1,37,29,1,1,34,-5,2,0,33,-8,5,1,23,11,4,0,17,-11,3,144,16,16
10,Solnce,Thundrik's Profiteers,1,1,29,1,9,0,32,-4,11,0,22,-13,14,1,36,10,10,1,35,13,3,154,7,14
11,Kamahl,The Farstriders,15,0,8,-29,18,1,26,14,13,1,19,14,8,1,15,6,5,0,7,-14,3,75,-9,14
12,Oksana,Zarbag's Gitz,10,1,32,1,9,1,36,4,4,0,33,-13,9,1,31,10,6,0,27,-8,3,159,-6,13
13,Vanya,Thorns of the Briar Queen ,12,0,34,-11,14,1,36,31,6,1,30,12,3,1,56,15,2,0,29,-2,3,185,45,12
14,Sasha,Stormsire’s Cursebreakers,14,0,20,-2,11,1,33,25,6,0,18,-12,10,1,34,13,7,1,21,2,3,126,26,12
15,Doctor,Eyes of the Nine,1,0,28,-1,10,1,34,-4,12,1,32,5,7,0,28,-11,11,1,35,4,3,157,-7,12
16,Nevar,Ironskull’s Boyz,7,1,25,15,3,0,30,-3,8,0,19,-10,11,1,27,18,8,1,40,15,3,141,35,11
17,Boris,Magore's Fiends,6,0,14,-12,15,0,18,-10,16,1,35,13,13,1,30,11,9,1,35,0,3,132,2,11
18,Amarok,The Chosen Axes,8,0,6,-33,18,0,12,-14,18,1,26,17,15,1,24,-3,12,1,28,15,3,96,-18,11
19,Anguis,Ironskull’s Boyz,3,1,24,4,8,0,28,0,8,1,29,10,6,0,11,-24,11,0,31,-4,2,123,-14,16
20,Voron,Zarbag's Gitz,12,1,45,11,5,0,39,3,7,0,33,-14,12,1,52,0,9,0,35,0,2,204,0,14
21,Ilya,Magore's Fiends,2,1,32,20,2,0,10,-19,10,1,23,-2,8,0,9,-6,10,0,22,-13,2,96,-20,13
22,Gerzogh,The Chosen Axes,17,0,9,-20,17,1,31,9,13,0,5,-14,14,0,26,-10,16,1,28,7,2,99,-28,13
23,Bessmertniy,Stormsire’s Cursebreakers,5,1,28,4,7,1,31,5,3,0,21,-17,9,0,21,-10,12,0,13,-15,2,114,-33,13
24,Serega,Zarbag's Gitz,11,0,35,-13,15,1,28,10,12,0,27,-5,12,0,52,0,13,1,45,1,2,187,-7,12
25,Exselsior,Stormsire’s Cursebreakers,7,0,10,-15,16,1,36,24,9,1,31,18,4,0,30,-4,7,0,19,-2,2,126,21,11
26,Udar,Magore's Fiends,3,0,20,-4,12,1,38,16,7,1,47,14,5,0,12,-11,8,0,25,-15,2,142,0,11
27,Danse,Ironskull’s Boyz,13,0,14,-24,17,0,22,-9,17,1,10,8,15,0,27,3,14,1,18,13,2,91,-9,11
28,Mekhanka,Zarbag's Gitz,5,0,24,-4,11,0,8,-25,16,0,22,-13,16,1,28,19,15,1,28,9,2,110,-14,10
29,Seryi,Mollog's Mob,10,0,31,-1,10,0,38,4,15,1,36,14,10,0,21,-13,13,0,44,-1,1,170,3,12
30,Ivan,Thundrik's Profiteers,16,0,40,-6,13,1,34,8,9,0,13,-18,13,0,19,-12,15,0,19,-9,1,125,-37,11
31,Maksim,Stormsire’s Cursebreakers,4,1,34,5,7,0,26,-5,10,0,25,2,11,0,9,-18,14,0,5,-13,1,99,-29,10
32,Daniar,Spiteclaw's Swarm,2,0,12,-20,16,0,12,-24,18,0,9,-17,17,1,16,5,16,0,21,-7,1,70,-63,9
33,Kozulskis,Spiteclaw's Swarm,4,0,29,-5,12,0,22,-16,15,0,22,-14,16,0,9,-19,17,1,16,13,1,98,-41,6
34,Viktor,Magore's Fiends,9,1,12,7,6,0,16,-12,19,0,0,0,19,0,0,0,19,0,0,0,1,28,-5,4
35,Proxy,Godsworn Hunt,18,0,10,-7,13,0,26,-8,19,0,0,0,19,0,0,0,19,0,0,0,0,36,-15,8
36,Dimon,Stormsire’s Cursebreakers,9,0,5,-7,14,0,5,-31,17,0,2,-8,17,0,11,-5,17,0,3,-13,0,26,-64,8
