№,Nick,Faction,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,VP,GP,DIFF,SoS
1,Verger,Mollog's Mob,16,1,36,10,7,1,37,20,2,1,35,12,1,1,26,7,1,1,55,20,5,189,69,16
2,Lordik,Magore's Fiends,14,1,46,14,4,1,26,15,2,0,23,-12,5,1,28,15,5,1,25,13,4,148,45,15
3,"Константин Кручинин",Mollog's Mob,4,1,27,22,3,1,20,2,3,0,20,-12,7,1,34,26,2,1,39,4,4,140,42,15
4,Just,Stormsire’s Cursebreakers,2,1,37,16,4,0,11,-15,10,1,32,14,6,1,34,19,4,1,37,13,4,151,47,14
5,Voron,Zarbag's Gitz,15,1,34,7,8,1,49,16,3,1,32,12,2,1,49,7,1,0,35,-20,4,199,22,14
6,Artur Diodand,Mollog's Mob,11,1,35,26,2,1,45,12,1,0,23,-14,3,1,36,11,3,1,41,13,4,180,48,12
7,Dima,Stormsire’s Cursebreakers,13,1,37,28,1,1,24,11,1,1,37,14,1,0,19,-7,2,0,35,-4,3,152,42,19
8,Nevar,The Chosen Axes,17,1,31,11,6,1,34,10,4,0,28,-13,8,1,23,11,5,0,12,-13,3,128,6,16
9,Oleg,The Chosen Axes,1,1,34,29,1,0,13,-11,5,1,32,17,3,0,25,-11,6,1,31,7,3,135,31,15
10,Oksana,Spiteclaw's Swarm,3,1,29,4,9,1,50,16,4,1,41,13,2,0,42,-7,4,0,25,-12,3,187,14,15
11,Ilya,Mollog's Mob,12,1,26,18,3,0,18,-2,6,1,35,3,4,1,36,23,3,0,28,-13,3,143,29,14
12,Anguis,Ironskull’s Boyz,18,1,28,13,5,0,25,-5,8,1,37,8,5,0,13,-15,7,1,43,2,3,146,3,14
13,Tema,Steelheart’s Champions,4,0,5,-22,17,1,25,9,14,1,23,8,9,1,22,9,6,0,24,-7,3,99,-3,14
14,"Федор Федоренко",Godsworn Hunt,5,1,28,11,7,0,17,-20,12,0,10,-12,17,1,36,19,9,1,33,7,3,124,5,12
15,Bessmertniy,Stormsire’s Cursebreakers,9,1,22,13,5,1,30,5,5,0,15,-17,8,0,12,-11,10,1,36,9,3,115,-1,12
16,Seriy,Mollog's Mob,7,1,32,12,6,0,24,-10,10,0,18,-14,13,1,21,10,8,1,48,12,3,143,10,11
17,Morond,Magore's Fiends,13,0,9,-28,19,1,22,14,15,1,21,2,10,0,26,-9,13,1,33,8,3,111,-13,11
18,Sergey,Zarbag's Gitz,17,0,20,-11,13,0,40,-7,18,1,30,3,14,1,21,3,12,1,32,11,3,143,-1,10
19,Ivan,Godsworn Hunt,18,0,15,-13,15,1,30,2,14,0,15,-8,16,1,19,8,11,1,27,2,3,106,-9,10
20,Exselsior,Magore's Fiends,16,0,26,-10,13,1,47,7,12,1,22,12,7,0,8,-26,13,0,25,-8,2,128,-25,18
21,Brin,Thorns of the Briar Queen ,10,1,35,27,2,0,33,-12,6,0,32,-3,10,1,35,9,7,0,41,-2,2,176,19,15
22,Tanya,Thorns of the Briar Queen ,5,0,17,-11,14,1,27,15,8,0,29,-8,11,1,43,3,8,0,36,-12,2,152,-13,12
23,Boris,Magore's Fiends,8,0,17,-6,11,1,26,15,7,1,33,5,6,0,15,-19,10,0,27,-9,2,118,-14,12
24,Vladimir,Mollog's Mob,6,1,19,2,10,0,14,-18,15,0,19,-2,15,1,10,0,12,0,21,-11,2,83,-29,12
25,Pawlove,Mollog's Mob,3,0,25,-4,10,1,32,18,7,0,28,-5,11,0,40,-3,14,1,16,8,2,141,14,11
26,Georgiy,Sepulchral Guard,2,0,21,-16,16,1,35,16,11,1,38,19,4,0,13,-23,9,0,26,-7,2,133,-11,11
27,Navigator,Steelheart’s Champions,19,1,23,6,9,0,34,-16,13,1,23,0,9,0,13,-9,14,0,8,-8,2,101,-27,11
28,Voloshin,Magore's Fiends,6,0,17,-2,11,0,11,-15,17,1,22,9,12,1,22,3,11,0,25,-2,2,97,-7,10
29,Danil,Mollog's Mob,12,0,8,-18,17,0,16,-9,19,1,25,13,14,0,18,-3,16,1,24,10,2,91,-7,10
30,Vitaiy,Stormsire’s Cursebreakers,1,0,5,-29,19,0,8,-14,20,0,2,-19,19,1,21,1,18,1,17,0,2,53,-61,9
31,Maks 2.0,Ironskull’s Boyz,10,0,12,-27,18,0,16,-9,20,1,21,19,15,0,10,0,17,1,34,-1,2,93,-18,8
32,Soel,Eyes of the Nine,19,0,17,-6,12,0,19,-7,16,1,25,9,12,0,19,-3,15,1,34,12,2,114,5,7
33,Kozulkis,Zarbag's Gitz,15,0,27,-7,12,1,26,7,11,0,19,-19,16,0,11,-8,17,0,35,1,1,118,-26,13
34,Pornoork,Ironskull’s Boyz,8,1,23,6,8,0,33,-16,13,0,23,0,13,0,11,-10,16,0,14,-10,1,104,-30,13
35,Karina,Eyes of the Nine,11,0,9,-26,18,1,25,9,16,0,16,-9,17,0,17,-19,18,0,17,0,1,84,-45,13
36,Udar,Magore's Fiends,9,0,9,-13,15,0,28,-2,17,0,13,-9,18,1,28,17,15,0,23,-12,1,101,-19,11
37,Maksim,Stormsire’s Cursebreakers,7,0,20,-12,14,0,12,-15,18,0,27,-3,18,0,11,-17,19,1,26,1,1,96,-46,9
38,Proletariy,Zarbag's Gitz,14,0,32,-14,16,0,19,-16,19,0,12,-13,19,0,20,-1,19,0,25,-1,0,108,-45,11
