№,Nick,Faction,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,Tb,VP,GP,DIFF,VP,GP,DIFF,SoS
1,Ilya,Stormsire’s Cursebreakers,11,1,27,18,2,1,19,5,1,1,34,6,1,1,26,2,1,1,39,35,5,145,66,14
2,Just,Mollog's Mob,9,1,33,20,1,1,36,22,1,0,28,-6,2,1,23,8,2,1,22,17,4,142,61,15
3,Soel,Thundrik's Profiteers,8,1,15,10,4,1,34,-2,3,0,27,-8,5,1,34,15,3,1,39,7,4,149,22,12
4,Kamahl,Thundrik's Profiteers,3,1,34,12,3,1,53,2,2,1,44,6,1,0,24,-2,2,0,5,-17,3,160,1,17
5,Sasha,Mollog's Mob,5,1,24,10,4,0,36,2,4,1,32,20,3,1,27,11,1,0,4,-35,3,123,8,16
6,Tema,Mollog's Mob,9,0,13,-20,11,1,42,29,5,1,30,5,4,1,35,24,3,0,32,-7,3,152,31,15
7,"Роман Евсеев",Ylthari's Guardians,2,1,26,14,2,0,14,-5,5,0,25,-5,7,1,21,8,5,1,33,3,3,119,15,15
8,Vanya,Thundrik's Profiteers,4,1,43,10,3,0,51,-2,6,0,29,-3,6,1,42,7,4,1,47,1,3,212,13,13
9,Voron,Zarbag's Gitz,4,0,33,-10,8,1,36,2,7,1,47,6,5,0,19,-15,7,1,49,21,3,184,4,13
10,Kozulskis,Zarbag's Gitz,7,1,42,6,5,1,27,15,2,0,38,-6,3,0,16,-11,6,1,40,9,3,163,13,12
11,Verger,The Farstriders,2,0,12,-14,10,1,17,15,6,1,32,3,4,0,11,-24,8,1,32,3,3,104,-17,12
12,Brin,Ylthari's Guardians,1,0,26,0,6,1,33,30,3,1,35,8,2,0,15,-8,4,0,46,-1,2,155,29,15
13,Priest,Garrek’s Reavers,10,1,35,20,1,0,14,-22,7,0,41,-6,8,1,35,18,5,0,30,-3,2,155,7,13
14,Nevar,The Chosen Axes,1,1,26,0,5,0,8,-15,8,1,39,11,6,0,35,-7,7,0,28,-21,2,136,-32,13
15,Danyar,Thundrik's Profiteers,5,0,14,-10,8,0,34,-2,9,1,38,15,7,0,13,-8,9,1,49,4,2,148,-1,12
16,Udar,Thundrik's Profiteers,7,0,36,-6,7,1,33,22,4,0,12,-20,8,0,17,-18,10,1,26,11,2,124,-11,10
17,Boris,Thorns of the Briar Queen ,3,0,22,-12,9,1,43,3,8,0,28,-11,9,1,29,8,6,0,31,-9,2,153,-21,10
18,Dants,Thundrik's Profiteers,6,1,24,-3,6,0,3,-30,9,0,23,-15,10,1,7,7,8,0,29,-3,2,86,-44,9
19,Seriy,Magore's Fiends,11,0,9,-18,10,0,2,-15,11,0,34,1,11,1,34,13,10,0,15,-11,1,94,-30,12
20,Ahti,Stormsire’s Cursebreakers,6,0,27,3,7,0,11,-22,10,1,43,14,9,0,21,-8,9,0,45,-4,1,147,-17,9
21,Egor,Thorns of the Briar Queen ,8,0,5,-10,9,0,40,-3,10,0,29,-14,11,0,21,-13,11,1,32,6,1,127,-34,9
22,Saervak,Sepulchral Guard,10,0,15,-20,11,0,13,-29,11,1,33,-1,10,0,0,-7,11,0,26,-6,1,87,-63,9
