#,Имя игрока,Faction,T,VP,L,DiffGP,T,VP,L,DiffGP,T,VP,L,DiffGP,VP,L,SoS,DiffGP
1,Алексей Смышляев,маги,1,3,0,8,2,3,1,15,1,0,2,0,6,3,6,23
2,Денис Кубиков,гули,2,3,1,7,2,0,2,0,3,0,2,0,3,5,5,7
3,Иван Дмитриев,гули,1,0,2,0,4,3,0,24,2,3,1,2,6,3,4,26
4,Дмитрий Матвеев,гули,3,0,2,0,3,3,0,18,3,3,1,4,6,3,2,22
5,Артем Баранов,волки,2,0,2,0,4,0,2,0,4,3,0,8,3,4,3,8
6,Никита Чикулаев,нурглиты,3,3,0,19,1,0,2,0,2,0,2,0,3,4,7,19
7,Николай Шараев,орки,4,0,2,0,3,0,2,0,4,0,2,0,0,6,6,0
8,Петр Федин,призраки,4,3,0,24,1,3,0,6,1,3,1,28,9,1,3,58
