#,Name,Faction,T,V,T,V
1,Святослав Соколов,глаза,1,3,2,1
2,Евгений Сафронов,глаза,1,0,1,3
3,Никита Чикулаев,гоблины,2,1,1,1
4,Андрей Хряпин,магоры,2,1,2,0
