#,Name,T,V,D,T,V,D,T,V,D
1,Владимир Владимирович,1,-3,-2,4,3,15,3,-3,-3
2,Никита Чикулаев,1,3,2,2,3,6,1,-3,-5
3,Максим Каревский,2,-3,-16,-1,1,0,4,0,-6
4,Александр Каревский,3,-3,-15,4,-3,-15,-1,1,0
5,Анатолий Коновалов,2,3,16,1,-3,+11,2,3,30
6,Алексей Смышляев,3,3,15,1,3,-11,1,3,5
7,Евгений Сафронов,4,-3,-1,3,-3,-2,4,0,6
8,Максим Федоров,4,3,1,2,-3,-6,3,3,3
9,Богдан Елизаров,-1,1,0,3,3,2,2,-3,-30
