#,Name,T,V,D,T,V,D,T,V,D
1,Павел Аленчев,1,0,-1,3,-3,-18,4,-3,-8
2,Дмитрий Матвеев,2,-3,-18,4,3,19,3,-3,4
3,Евгений Сафронов,3,-3,-3,3,3,18,1,-3,-11
4,Максим Федоров,4,3,25,1,-3,-13,2,-3,-15
5,Максим Каревский,4,-3,-25,4,-3,-19,4,3,8
6,Александр Каревский,3,-3,-3,2,-3,-28,3,3,-4
7,Анна Мельникова,2,3,18,1,3,13,1,3,11
8,Михаил Ковальков,1,0,1,2,3,28,2,3,15
