#,Name,T,V,D,T,V,D,T,V,D
1,Павел Аленчев,1,3,5,3,-3,-2,1,-3,-20
2,Никита Бондаренко,2,-3,-8,2,-3,-23,4,0,10
3,Владимир Владимирович,3,-3,-4,4,3,8,1,3,20
4,Дмитрий Матвеев,4,3,4,1,3,7,3,-3,-5
5,Максим Каревский,3,3,4,1,-3,-7,2,-3,-15
6,Евгений Сафронов,2,3,8,3,3,2,3,3,5
7,Евгений Овчинников,1,-3,-5,2,3,23,2,3,15
8,Proxy,4,-3,-4,4,-3,-8,4,0,-10
